id,address_id,name,siren,logo,created_at,updated_at
28,28,Industrie Rhône-Alpes SASU,446070567,,2021-11-30 00:00:00,2021-11-30 00:00:00
29,29,Société Est SNC,426635074,,2023-12-09 00:00:00,2023-12-09 00:00:00
30,30,Matériaux Méditerranée SASU,268420361,,2024-05-26 00:00:00,2024-05-26 00:00:00
31,31,Solutions Expert SA,423741826,,2023-01-22 00:00:00,2023-01-22 00:00:00
32,32,Construction Paris EURL,680972684,,2025-07-31 00:00:00,2025-07-31 00:00:00
33,33,Développement Est EURL,895923498,,2023-08-09 00:00:00,2023-08-09 00:00:00
34,34,Construction Est SNC,297346991,,2023-07-10 00:00:00,2023-07-10 00:00:00
35,35,Commerce Pro SAS,947771853,,2023-11-26 00:00:00,2023-11-26 00:00:00
36,36,Développement Ouest EURL,062931969,,2022-07-15 00:00:00,2022-07-15 00:00:00
37,37,Produits Plus SAS,437476377,,2021-07-14 00:00:00,2021-07-14 00:00:00
38,38,Développement Expert SNC,799798129,,2022-03-09 00:00:00,2022-03-09 00:00:00
39,39,Développement Avenir EURL,468445853,,2024-12-29 00:00:00,2024-12-29 00:00:00
40,40,Entreprise Rhône-Alpes SNC,436974661,,2020-09-30 00:00:00,2020-09-30 00:00:00
41,41,Services France SAS,434159026,,2024-01-12 00:00:00,2024-01-12 00:00:00
42,42,Produits Sud SARL,763668282,,2024-04-23 00:00:00,2024-04-23 00:00:00
43,43,Solutions France SASU,101192938,,2020-06-12 00:00:00,2020-06-12 00:00:00
44,44,Services International EURL,392997839,,2022-12-18 00:00:00,2022-12-18 00:00:00
45,45,Construction Centre SASU,096397831,,2020-02-21 00:00:00,2020-02-21 00:00:00
46,46,Solutions Moderne SAS,596297820,,2022-02-26 00:00:00,2022-02-26 00:00:00
47,47,Systems France SASU,476708177,,2021-12-04 00:00:00,2021-12-04 00:00:00
48,48,Transport Premium SARL,179809199,,2020-05-09 00:00:00,2020-05-09 00:00:00
49,49,Systems Moderne EURL,627555360,,2024-07-19 00:00:00,2024-07-19 00:00:00
50,50,Énergie Premium SNC,121483424,,2022-06-10 00:00:00,2022-06-10 00:00:00
51,51,Transport Nouvelle EURL,316696780,,2022-05-26 00:00:00,2022-05-26 00:00:00
52,52,Entreprise Est SAS,541583522,,2021-06-26 00:00:00,2021-06-26 00:00:00
53,53,Construction Moderne SAS,013099866,,2024-08-17 00:00:00,2024-08-17 00:00:00
54,54,Digital Europe SARL,711257972,,2023-04-13 00:00:00,2023-04-13 00:00:00
55,55,Alimentation Europe SAS,371743022,,2020-07-25 00:00:00,2020-07-25 00:00:00
56,56,Solutions Méditerranée EURL,264727322,,2025-08-01 00:00:00,2025-08-01 00:00:00
57,57,Alimentation Premium SA,051824902,,2020-11-18 00:00:00,2020-11-18 00:00:00
58,58,Digital Est SASU,059138180,,2020-12-09 00:00:00,2020-12-09 00:00:00
59,59,Distribution Grand Ouest SARL,560816209,,2024-03-24 00:00:00,2024-03-24 00:00:00
60,60,Technologies Méditerranée SARL,992065029,,2025-10-16 00:00:00,2025-10-16 00:00:00
61,61,Groupe Premium SAS,351091285,,2021-09-21 00:00:00,2021-09-21 00:00:00
62,62,Services Est SASU,366186393,,2025-05-12 00:00:00,2025-05-12 00:00:00
63,63,Digital Expert SA,891547531,,2022-06-23 00:00:00,2022-06-23 00:00:00
64,64,Digital Expert SASU,592858534,,2021-05-08 00:00:00,2021-05-08 00:00:00
65,65,Technologies Ouest SNC,486957079,,2025-08-05 00:00:00,2025-08-05 00:00:00
66,66,Construction Rhône-Alpes SARL,697517969,,2025-05-21 00:00:00,2025-05-21 00:00:00
67,67,Solutions France EURL,509108643,,2025-05-09 00:00:00,2025-05-09 00:00:00
68,68,Solutions France SAS,675637474,,2022-08-06 00:00:00,2022-08-06 00:00:00
69,69,Alimentation Ouest SA,058885906,,2021-02-17 00:00:00,2021-02-17 00:00:00
70,70,Groupe Ouest SA,183771385,,2022-11-26 00:00:00,2022-11-26 00:00:00
71,71,Systems Premium SARL,001224195,,2023-04-14 00:00:00,2023-04-14 00:00:00
72,72,Entreprise Nouvelle SARL,522837426,,2025-09-16 00:00:00,2025-09-16 00:00:00
73,73,Groupe Grand Ouest SA,789758687,,2021-01-25 00:00:00,2021-01-25 00:00:00
74,74,Société Sud SNC,318968781,,2022-05-08 00:00:00,2022-05-08 00:00:00
75,75,Transport Est SASU,760891838,,2024-11-05 00:00:00,2024-11-05 00:00:00
76,76,Matériaux Sud SA,685679441,,2024-10-17 00:00:00,2024-10-17 00:00:00
77,77,Construction Expert SASU,349027581,,2020-03-10 00:00:00,2020-03-10 00:00:00
78,78,Entreprise Est EURL,935758623,,2020-06-04 00:00:00,2020-06-04 00:00:00
79,79,Consulting Est SA,727718033,,2021-08-15 00:00:00,2021-08-15 00:00:00
80,80,Transport Centre SARL,585857626,,2020-01-18 00:00:00,2020-01-18 00:00:00
81,81,Produits Est SARL,266548528,,2024-09-11 00:00:00,2024-09-11 00:00:00
82,82,Distribution Ouest SNC,355530700,,2025-10-27 00:00:00,2025-10-27 00:00:00
83,83,Distribution Pro SNC,121056949,,2023-03-31 00:00:00,2023-03-31 00:00:00
84,84,Construction Expert SASU,422305151,,2020-10-26 00:00:00,2020-10-26 00:00:00
85,85,Alimentation Rhône-Alpes SNC,423613116,,2021-07-30 00:00:00,2021-07-30 00:00:00
86,86,Produits Méditerranée EURL,812400810,,2023-06-16 00:00:00,2023-06-16 00:00:00
87,87,Services Europe EURL,724678479,,2021-05-16 00:00:00,2021-05-16 00:00:00
88,88,Société Centre SA,384878971,,2025-03-12 00:00:00,2025-03-12 00:00:00
89,89,Matériaux Ouest SASU,421415373,,2022-09-17 00:00:00,2022-09-17 00:00:00
90,90,Industrie Grand Ouest SA,879072437,,2023-09-27 00:00:00,2023-09-27 00:00:00
91,91,Groupe Avenir SAS,724883764,,2021-04-06 00:00:00,2021-04-06 00:00:00
92,92,Construction Méditerranée SASU,124254400,,2025-09-06 00:00:00,2025-09-06 00:00:00
93,93,Services Europe SARL,958410623,,2025-05-11 00:00:00,2025-05-11 00:00:00
94,94,Construction Est SAS,825958861,,2025-12-22 00:00:00,2025-12-22 00:00:00
95,95,Commerce Rhône-Alpes EURL,376816658,,2022-08-22 00:00:00,2022-08-22 00:00:00
96,96,Matériaux Pro SA,119887115,,2025-06-13 00:00:00,2025-06-13 00:00:00
97,97,Consulting Ouest SA,733865026,,2024-10-30 00:00:00,2024-10-30 00:00:00
98,98,Innovation Pro SAS,624674420,,2023-02-18 00:00:00,2023-02-18 00:00:00
99,99,Produits Europe SNC,112978713,,2025-08-05 00:00:00,2025-08-05 00:00:00
100,100,Société Grand Ouest EURL,635294887,,2022-10-05 00:00:00,2022-10-05 00:00:00
101,101,Commerce Premium SAS,105866800,,2020-07-11 00:00:00,2020-07-11 00:00:00
102,102,Construction Centre EURL,684106909,,2025-02-12 00:00:00,2025-02-12 00:00:00
103,103,Produits Centre SA,906633375,,2020-02-10 00:00:00,2020-02-10 00:00:00
104,104,Société Avenir SARL,806203766,,2024-09-20 00:00:00,2024-09-20 00:00:00
105,105,Transport Est SARL,115850406,,2022-03-19 00:00:00,2022-03-19 00:00:00
106,106,Énergie Est SAS,947573580,,2020-12-03 00:00:00,2020-12-03 00:00:00
107,107,Construction Centre SNC,557926979,,2023-05-06 00:00:00,2023-05-06 00:00:00
108,108,Services International SAS,889525374,,2020-11-02 00:00:00,2020-11-02 00:00:00
109,109,Produits Plus SA,394053359,,2024-02-24 00:00:00,2024-02-24 00:00:00
110,110,Entreprise Plus SARL,622812790,,2023-09-25 00:00:00,2023-09-25 00:00:00
111,111,Digital Grand Ouest SARL,605303023,,2024-10-08 00:00:00,2024-10-08 00:00:00
112,112,Digital France SA,610016339,,2023-05-11 00:00:00,2023-05-11 00:00:00
113,113,Transport France SARL,682465935,,2020-02-21 00:00:00,2020-02-21 00:00:00
114,114,Groupe Rhône-Alpes SNC,180539520,,2022-05-07 00:00:00,2022-05-07 00:00:00
115,115,Solutions France EURL,766556880,,2021-08-17 00:00:00,2021-08-17 00:00:00
116,116,Développement International SASU,256558743,,2021-08-19 00:00:00,2021-08-19 00:00:00
117,117,Innovation Plus EURL,096370143,,2025-07-07 00:00:00,2025-07-07 00:00:00
118,118,Innovation Grand Ouest SAS,994313849,,2021-10-18 00:00:00,2021-10-18 00:00:00
119,119,Systems Expert SARL,383596590,,2023-10-20 00:00:00,2023-10-20 00:00:00
120,120,Commerce International SAS,363380296,,2025-05-03 00:00:00,2025-05-03 00:00:00
121,121,Systems Méditerranée SASU,295802342,,2024-08-31 00:00:00,2024-08-31 00:00:00
122,122,Technologies Paris SA,790479505,,2022-01-26 00:00:00,2022-01-26 00:00:00
123,123,Énergie Nouvelle EURL,315535427,,2024-02-01 00:00:00,2024-02-01 00:00:00
124,124,Alimentation Est SA,240653667,,2023-01-31 00:00:00,2023-01-31 00:00:00
125,125,Société Expert SARL,964427371,,2025-10-03 00:00:00,2025-10-03 00:00:00
126,126,Services Méditerranée SASU,130788540,,2020-06-24 00:00:00,2020-06-24 00:00:00
127,127,Groupe Nouvelle SNC,007144587,,2021-04-15 00:00:00,2021-04-15 00:00:00
128,128,Industrie France SARL,125158808,,2023-12-08 00:00:00,2023-12-08 00:00:00
129,129,Digital Nord EURL,077025047,,2020-07-30 00:00:00,2020-07-30 00:00:00
130,130,Digital Europe SASU,954765723,,2023-11-28 00:00:00,2023-11-28 00:00:00
131,131,Construction Premium SASU,069330660,,2025-04-09 00:00:00,2025-04-09 00:00:00
132,132,Industrie Méditerranée SARL,722809894,,2020-04-28 00:00:00,2020-04-28 00:00:00
133,133,Digital International SNC,541773701,,2025-11-25 00:00:00,2025-11-25 00:00:00
134,134,Distribution Méditerranée SAS,605273366,,2022-04-30 00:00:00,2022-04-30 00:00:00
135,135,Alimentation Nouvelle EURL,260762257,,2024-05-29 00:00:00,2024-05-29 00:00:00
136,136,Consulting Pro SAS,344714977,,2025-11-02 00:00:00,2025-11-02 00:00:00
137,137,Industrie Moderne SA,731786851,,2025-11-13 00:00:00,2025-11-13 00:00:00
138,138,Distribution Méditerranée SAS,426941852,,2022-08-10 00:00:00,2022-08-10 00:00:00
139,139,Solutions Est SAS,827767369,,2021-01-31 00:00:00,2021-01-31 00:00:00
140,140,Alimentation Avenir SNC,140000977,,2021-06-16 00:00:00,2021-06-16 00:00:00
141,141,Technologies Europe SAS,697770493,,2025-03-18 00:00:00,2025-03-18 00:00:00
142,142,Industrie Est SASU,247873185,,2025-08-31 00:00:00,2025-08-31 00:00:00
143,143,Produits Moderne SAS,764243796,,2024-01-01 00:00:00,2024-01-01 00:00:00
144,144,Innovation Moderne SARL,392270872,,2021-10-08 00:00:00,2021-10-08 00:00:00
145,145,Transport Est SNC,543140461,,2021-12-03 00:00:00,2021-12-03 00:00:00
146,146,Systems International SAS,775218944,,2023-04-20 00:00:00,2023-04-20 00:00:00
147,147,Entreprise Sud SASU,732162334,,2020-09-24 00:00:00,2020-09-24 00:00:00
148,148,Distribution Méditerranée SNC,699553434,,2024-11-13 00:00:00,2024-11-13 00:00:00
149,149,Technologies Rhône-Alpes SNC,046448320,,2023-01-08 00:00:00,2023-01-08 00:00:00
150,150,Industrie Expert SAS,987289337,,2021-07-02 00:00:00,2021-07-02 00:00:00
151,151,Groupe Nord SAS,047499827,,2021-08-26 00:00:00,2021-08-26 00:00:00
152,152,Alimentation Moderne SAS,186043139,,2024-01-20 00:00:00,2024-01-20 00:00:00
153,153,Commerce France SASU,994333144,,2023-03-29 00:00:00,2023-03-29 00:00:00
154,154,Société Rhône-Alpes SARL,006510234,,2020-03-23 00:00:00,2020-03-23 00:00:00
155,155,Matériaux Europe SNC,163183791,,2022-05-21 00:00:00,2022-05-21 00:00:00
156,156,Alimentation Méditerranée SARL,087682126,,2021-05-08 00:00:00,2021-05-08 00:00:00
157,157,Technologies Avenir SAS,959158221,,2024-07-08 00:00:00,2024-07-08 00:00:00
158,158,Groupe International SA,994563146,,2025-01-27 00:00:00,2025-01-27 00:00:00
159,159,Transport Paris SAS,733981476,,2021-09-10 00:00:00,2021-09-10 00:00:00
160,160,Matériaux Nouvelle EURL,536005747,,2024-02-25 00:00:00,2024-02-25 00:00:00
161,161,Alimentation Nouvelle SNC,491746145,,2021-02-28 00:00:00,2021-02-28 00:00:00
162,162,Société Premium SNC,018036616,,2024-10-24 00:00:00,2024-10-24 00:00:00
163,163,Développement Paris SAS,969591726,,2023-09-07 00:00:00,2023-09-07 00:00:00
164,164,Alimentation Ouest SA,525445581,,2024-04-01 00:00:00,2024-04-01 00:00:00
165,165,Distribution Nouvelle SARL,212996466,,2022-06-20 00:00:00,2022-06-20 00:00:00
166,166,Construction Est SARL,196630784,,2022-09-26 00:00:00,2022-09-26 00:00:00
167,167,Innovation France SA,460697378,,2020-06-28 00:00:00,2020-06-28 00:00:00
168,168,Développement Plus SNC,874832181,,2020-02-19 00:00:00,2020-02-19 00:00:00
169,169,Énergie Pro SARL,427685094,,2022-09-26 00:00:00,2022-09-26 00:00:00
170,170,Commerce Plus EURL,161324942,,2025-09-04 00:00:00,2025-09-04 00:00:00
171,171,Digital Centre SASU,669608606,,2023-03-25 00:00:00,2023-03-25 00:00:00
172,172,Consulting Moderne SA,181549809,,2025-03-12 00:00:00,2025-03-12 00:00:00
173,173,Groupe Rhône-Alpes SASU,842731580,,2022-09-23 00:00:00,2022-09-23 00:00:00
174,174,Groupe Est SA,449483569,,2023-02-11 00:00:00,2023-02-11 00:00:00
175,175,Construction Plus SARL,590425302,,2021-08-24 00:00:00,2021-08-24 00:00:00
176,176,Transport Paris SASU,082927476,,2024-05-22 00:00:00,2024-05-22 00:00:00
177,177,Digital Rhône-Alpes EURL,540854155,,2024-12-29 00:00:00,2024-12-29 00:00:00
178,178,Produits Paris SASU,259230837,,2025-07-13 00:00:00,2025-07-13 00:00:00
179,179,Alimentation Centre SNC,680564002,,2020-07-12 00:00:00,2020-07-12 00:00:00
180,180,Construction Pro SA,358778694,,2021-11-08 00:00:00,2021-11-08 00:00:00
181,181,Distribution Pro SAS,718546377,,2023-04-07 00:00:00,2023-04-07 00:00:00
182,182,Digital Europe SNC,547481283,,2024-11-15 00:00:00,2024-11-15 00:00:00
183,183,Consulting Moderne SARL,705895431,,2024-12-10 00:00:00,2024-12-10 00:00:00
184,184,Systems Est SARL,863770301,,2020-09-05 00:00:00,2020-09-05 00:00:00
185,185,Consulting France SARL,041786658,,2021-09-30 00:00:00,2021-09-30 00:00:00
186,186,Développement Méditerranée SASU,701163834,,2024-06-16 00:00:00,2024-06-16 00:00:00
187,187,Systems Premium SA,740287255,,2020-09-02 00:00:00,2020-09-02 00:00:00
188,188,Entreprise Nord SASU,620814459,,2020-08-23 00:00:00,2020-08-23 00:00:00
189,189,Entreprise Est SASU,677381030,,2024-12-09 00:00:00,2024-12-09 00:00:00
190,190,Société Moderne SNC,798550299,,2024-12-21 00:00:00,2024-12-21 00:00:00
191,191,Construction Ouest SNC,986826998,,2022-05-15 00:00:00,2022-05-15 00:00:00
192,192,Entreprise Europe EURL,297854895,,2020-10-20 00:00:00,2020-10-20 00:00:00
193,193,Solutions Sud SAS,860868439,,2025-04-23 00:00:00,2025-04-23 00:00:00
194,194,Consulting Expert SAS,422136655,,2022-05-20 00:00:00,2022-05-20 00:00:00
195,195,Distribution Nord SARL,443760251,,2020-08-24 00:00:00,2020-08-24 00:00:00
196,196,Construction Centre SAS,863981791,,2024-05-07 00:00:00,2024-05-07 00:00:00
197,197,Consulting France SARL,797342086,,2024-03-25 00:00:00,2024-03-25 00:00:00
198,198,Digital Est SA,867672966,,2025-10-13 00:00:00,2025-10-13 00:00:00
199,199,Développement Méditerranée SNC,468299714,,2021-08-19 00:00:00,2021-08-19 00:00:00
200,200,Technologies Nord SA,529847493,,2023-05-11 00:00:00,2023-05-11 00:00:00
201,201,Technologies France SNC,231564816,,2021-01-20 00:00:00,2021-01-20 00:00:00
202,202,Consulting Est EURL,239487556,,2025-03-15 00:00:00,2025-03-15 00:00:00
203,203,Consulting Est SAS,913631644,,2021-12-04 00:00:00,2021-12-04 00:00:00
204,204,Groupe France SARL,542465984,,2024-03-16 00:00:00,2024-03-16 00:00:00
205,205,Digital Sud SARL,449256593,,2024-02-24 00:00:00,2024-02-24 00:00:00
206,206,Entreprise Paris SASU,917990939,,2023-07-16 00:00:00,2023-07-16 00:00:00
207,207,Innovation Paris SA,700774052,,2022-12-08 00:00:00,2022-12-08 00:00:00
208,208,Développement Rhône-Alpes SNC,305981953,,2021-06-15 00:00:00,2021-06-15 00:00:00
209,209,Énergie Moderne EURL,449812254,,2025-10-12 00:00:00,2025-10-12 00:00:00
210,210,Construction International SA,895916955,,2025-02-21 00:00:00,2025-02-21 00:00:00
211,211,Commerce International SA,144582566,,2020-10-22 00:00:00,2020-10-22 00:00:00
212,212,Matériaux Rhône-Alpes SAS,179108246,,2023-01-29 00:00:00,2023-01-29 00:00:00
213,213,Distribution Pro EURL,738366665,,2021-07-24 00:00:00,2021-07-24 00:00:00
214,214,Services Centre SARL,093596542,,2020-12-28 00:00:00,2020-12-28 00:00:00
215,215,Alimentation Pro EURL,196573513,,2022-11-07 00:00:00,2022-11-07 00:00:00
216,216,Transport Rhône-Alpes SNC,130779200,,2020-06-20 00:00:00,2020-06-20 00:00:00
217,217,Groupe Centre SA,970162970,,2020-08-14 00:00:00,2020-08-14 00:00:00
218,218,Alimentation Ouest SARL,676687114,,2023-09-09 00:00:00,2023-09-09 00:00:00
219,219,Consulting International SARL,014740633,,2021-02-21 00:00:00,2021-02-21 00:00:00
220,220,Systems Paris SARL,722489747,,2022-09-15 00:00:00,2022-09-15 00:00:00
221,221,Matériaux Expert SASU,803701440,,2022-07-07 00:00:00,2022-07-07 00:00:00
222,222,Innovation Ouest EURL,396674814,,2022-08-31 00:00:00,2022-08-31 00:00:00
223,223,Digital Paris SNC,328528534,,2024-06-05 00:00:00,2024-06-05 00:00:00
224,224,Groupe Paris SARL,103523965,,2024-10-19 00:00:00,2024-10-19 00:00:00
225,225,Systems Méditerranée SA,665955332,,2025-05-16 00:00:00,2025-05-16 00:00:00
226,226,Consulting International SASU,040938516,,2020-06-05 00:00:00,2020-06-05 00:00:00
227,227,Construction Sud SASU,845293216,,2024-04-08 00:00:00,2024-04-08 00:00:00
228,228,Industrie Pro SARL,715276523,,2025-07-06 00:00:00,2025-07-06 00:00:00
229,229,Innovation Expert SASU,792701666,,2025-02-06 00:00:00,2025-02-06 00:00:00
230,230,Transport Ouest SAS,833999642,,2024-11-16 00:00:00,2024-11-16 00:00:00
231,231,Énergie Plus EURL,067083733,,2022-02-18 00:00:00,2022-02-18 00:00:00
232,232,Commerce Nouvelle SNC,715052049,,2020-11-19 00:00:00,2020-11-19 00:00:00
233,233,Commerce France EURL,906679824,,2020-10-01 00:00:00,2020-10-01 00:00:00
234,234,Digital Ouest SARL,279599104,,2024-10-17 00:00:00,2024-10-17 00:00:00
235,235,Groupe Plus SA,059899831,,2021-11-02 00:00:00,2021-11-02 00:00:00
236,236,Commerce Premium SASU,717676597,,2024-10-19 00:00:00,2024-10-19 00:00:00
237,237,Systems Centre EURL,145046942,,2021-11-30 00:00:00,2021-11-30 00:00:00
238,238,Digital Ouest SNC,667582761,,2021-08-14 00:00:00,2021-08-14 00:00:00
239,239,Groupe Sud EURL,954303160,,2023-06-08 00:00:00,2023-06-08 00:00:00
240,240,Consulting Est SASU,500826854,,2020-12-23 00:00:00,2020-12-23 00:00:00
241,241,Distribution Méditerranée SA,036576890,,2025-02-06 00:00:00,2025-02-06 00:00:00
242,242,Consulting Sud SAS,464229509,,2024-01-09 00:00:00,2024-01-09 00:00:00
243,243,Solutions Nord EURL,945713063,,2024-02-12 00:00:00,2024-02-12 00:00:00
244,244,Groupe Rhône-Alpes SAS,337792907,,2021-09-25 00:00:00,2021-09-25 00:00:00
245,245,Énergie International SASU,846346880,,2024-12-01 00:00:00,2024-12-01 00:00:00
246,246,Développement Rhône-Alpes SA,745804351,,2023-12-20 00:00:00,2023-12-20 00:00:00
247,247,Distribution France SARL,582751970,,2022-09-29 00:00:00,2022-09-29 00:00:00
248,248,Entreprise Nouvelle SA,635766306,,2021-10-20 00:00:00,2021-10-20 00:00:00
249,249,Société Expert SASU,360954564,,2023-11-15 00:00:00,2023-11-15 00:00:00
250,250,Alimentation Centre SASU,247790892,,2023-09-29 00:00:00,2023-09-29 00:00:00
251,251,Construction Sud SASU,273751271,,2021-03-12 00:00:00,2021-03-12 00:00:00
252,252,Alimentation Rhône-Alpes EURL,276307139,,2023-12-21 00:00:00,2023-12-21 00:00:00
253,253,Produits Moderne SASU,491199899,,2020-10-08 00:00:00,2020-10-08 00:00:00
254,254,Énergie Premium SARL,737273698,,2022-03-02 00:00:00,2022-03-02 00:00:00
255,255,Solutions Moderne SASU,301076527,,2022-10-01 00:00:00,2022-10-01 00:00:00
256,256,Consulting Premium EURL,937013563,,2020-12-04 00:00:00,2020-12-04 00:00:00
257,257,Commerce Plus SA,327442497,,2023-12-30 00:00:00,2023-12-30 00:00:00
258,258,Produits Sud SARL,413810953,,2022-07-30 00:00:00,2022-07-30 00:00:00
259,259,Construction Plus EURL,253926711,,2022-09-28 00:00:00,2022-09-28 00:00:00
260,260,Groupe Expert SA,112815311,,2022-11-23 00:00:00,2022-11-23 00:00:00
261,261,Produits Plus SA,525766440,,2023-01-04 00:00:00,2023-01-04 00:00:00
262,262,Entreprise Centre SASU,513990507,,2025-12-20 00:00:00,2025-12-20 00:00:00
263,263,Matériaux Plus SARL,750672875,,2024-08-12 00:00:00,2024-08-12 00:00:00
264,264,Systems Est SARL,480916055,,2025-11-29 00:00:00,2025-11-29 00:00:00
265,265,Commerce Ouest SAS,369099924,,2025-03-22 00:00:00,2025-03-22 00:00:00
266,266,Matériaux International SA,943009308,,2023-07-18 00:00:00,2023-07-18 00:00:00
267,267,Construction Sud SAS,869639492,,2024-08-31 00:00:00,2024-08-31 00:00:00
268,268,Alimentation Ouest SARL,882735657,,2025-08-08 00:00:00,2025-08-08 00:00:00
269,269,Développement France SNC,471526327,,2024-05-09 00:00:00,2024-05-09 00:00:00
270,270,Groupe Ouest SAS,798472056,,2025-10-08 00:00:00,2025-10-08 00:00:00
271,271,Digital Sud SARL,192087369,,2020-10-01 00:00:00,2020-10-01 00:00:00
272,272,Matériaux Europe SAS,789303484,,2023-04-20 00:00:00,2023-04-20 00:00:00
273,273,Technologies Avenir SA,198648420,,2021-07-06 00:00:00,2021-07-06 00:00:00
274,274,Construction Méditerranée SASU,049464787,,2025-05-19 00:00:00,2025-05-19 00:00:00
275,275,Innovation Sud SAS,274462191,,2025-10-01 00:00:00,2025-10-01 00:00:00
276,276,Consulting Pro SASU,830620498,,2024-04-21 00:00:00,2024-04-21 00:00:00
277,277,Consulting Avenir SNC,752068817,,2025-10-04 00:00:00,2025-10-04 00:00:00
278,278,Entreprise Méditerranée SA,721977403,,2024-03-06 00:00:00,2024-03-06 00:00:00
279,279,Consulting Expert SASU,727471385,,2023-04-11 00:00:00,2023-04-11 00:00:00
280,280,Entreprise Ouest SAS,198597106,,2021-04-24 00:00:00,2021-04-24 00:00:00
281,281,Technologies International SAS,046827390,,2023-09-11 00:00:00,2023-09-11 00:00:00
282,282,Consulting Moderne EURL,272025313,,2025-11-22 00:00:00,2025-11-22 00:00:00
283,283,Digital Moderne SA,121881833,,2020-07-03 00:00:00,2020-07-03 00:00:00
284,284,Services Grand Ouest SASU,174807958,,2024-12-30 00:00:00,2024-12-30 00:00:00
285,285,Développement Est SAS,347731846,,2020-12-24 00:00:00,2020-12-24 00:00:00
286,286,Consulting International SNC,193681764,,2024-01-08 00:00:00,2024-01-08 00:00:00
287,287,Matériaux Europe SARL,324006238,,2023-05-24 00:00:00,2023-05-24 00:00:00
288,288,Consulting Centre SARL,393145461,,2020-01-28 00:00:00,2020-01-28 00:00:00
289,289,Innovation Rhône-Alpes SAS,970132593,,2023-09-10 00:00:00,2023-09-10 00:00:00
290,290,Transport Expert SARL,574853107,,2022-12-23 00:00:00,2022-12-23 00:00:00
291,291,Systems Ouest SARL,451385363,,2023-01-24 00:00:00,2023-01-24 00:00:00
292,292,Systems Grand Ouest SNC,757781638,,2020-03-18 00:00:00,2020-03-18 00:00:00
293,293,Systems Nord SASU,949515043,,2024-05-04 00:00:00,2024-05-04 00:00:00
294,294,Commerce Expert EURL,097588503,,2023-01-02 00:00:00,2023-01-02 00:00:00
295,295,Entreprise Avenir EURL,566671947,,2020-11-25 00:00:00,2020-11-25 00:00:00
296,296,Services Paris EURL,268645504,,2022-10-16 00:00:00,2022-10-16 00:00:00
297,297,Industrie France SASU,357867910,,2021-04-03 00:00:00,2021-04-03 00:00:00
298,298,Commerce Ouest EURL,839422110,,2024-03-12 00:00:00,2024-03-12 00:00:00
299,299,Société Europe SARL,932333156,,2022-11-09 00:00:00,2022-11-09 00:00:00
300,300,Digital France SASU,781437959,,2025-06-30 00:00:00,2025-06-30 00:00:00
301,301,Systems Nord SAS,702056797,,2024-10-30 00:00:00,2024-10-30 00:00:00
302,302,Développement Sud SASU,107750754,,2020-09-25 00:00:00,2020-09-25 00:00:00
303,303,Groupe Grand Ouest SASU,408759272,,2020-06-24 00:00:00,2020-06-24 00:00:00
